"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
1.933,0.150419820658,0.876968483102,0.182711474151,-0.568954476195
1.966,0.155796476935,0.860838514272,0.218449832437,-0.685827205387
2,0.162965351971,0.835747451647,0.283522857428,-0.8522969969
2.033,0.173718664524,0.805279732746,0.386603715453,-1.07137556671
2.066,0.188056414595,0.76585092005,0.523480665034,-1.33754087792
2.1,0.205978602184,0.71746101356,0.754542165162,-1.6490521035
2.133,0.236446321085,0.654733356999,1.06524343876,-1.93783957277
2.166,0.274082915022,0.586629044161,1.44033769347,-2.12909779416
2.2,0.333226134066,0.509563637529,1.80386880896,-2.21725153676
2.233,0.399538228145,0.434290449655,2.05205474889,-2.1710490501
2.266,0.467642540983,0.362601699299,2.32234534832,-1.99958978041
2.299,0.550084603892,0.301666261497,2.65467316808,-1.79071773816
2.333,0.646864416872,0.242523042453,2.94323611032,-1.56256144168
2.366,0.749020886129,0.195925354722,3.17420707403,-1.29194573699
2.399,0.86013844918,0.154704323268,3.30564988845,-0.951230346862
2.433,0.969463793473,0.131405479402,3.42514387691,-0.550308804835
2.466,1.0859580128,0.11885994809,3.51731442648,-0.109251580427
2.499,1.22216663848,0.109898854295,2.9166074188,0.720436844882
2.533,1.31177757642,0.161873198303,1.42215873717,1.60490297021
2.566,1.32432310773,0.238938604936,-0.312079919819,1.81425470053
2.599,1.27055654497,0.310627355291,-1.42300547053,1.09838697343
2.633,1.20603666965,0.324965105363,-1.70485823441,-0.07435264189
2.666,1.13434791929,0.301666261497,-1.17076021686,-1.136843024
2.699,1.10746463791,0.237146386177,0.0536665034208,-1.71641534029
2.733,1.13793235681,0.158288760785,1.28747332649,-1.41734331829
2.766,1.21141332592,0.127821041884,1.98715519709,-0.682514765311
2.799,1.2866865138,0.127821041884,2.18677438119,-0.259113816584
2.833,1.36195970167,0.126028823125,2.22932449732,-0.0890392322241
