"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
4.537,0.16263787433,0.886122374799,0.21041847501,-0.643540324148
4.57,0.167888243907,0.866871019683,0.283960810413,-0.752773595771
4.604,0.178388983062,0.842369294988,0.395576692249,-0.954582946259
4.637,0.194140091794,0.805616707947,0.522288290712,-1.23221020972
4.67,0.211641323719,0.760113504943,0.701860415202,-1.50841316311
4.704,0.239643294798,0.704109562785,0.934808862888,-1.76611165096
4.737,0.272895635454,0.641105127857,1.2158587082,-1.98586541971
4.77,0.318398838458,0.571100200159,1.54182658476,-2.12849150583
4.804,0.377903027001,0.494094779691,1.81999800494,-2.12420343232
4.837,0.440907461929,0.425839975186,2.08530621635,-2.01660339297
4.87,0.516162759204,0.359335293873,2.33847535587,-1.84628274988
4.904,0.594918302864,0.303331351715,2.65728707456,-1.68749718819
4.937,0.692925201641,0.245577286364,2.99590061678,-1.49157435076
4.97,0.797932593188,0.20007408336,3.18121682553,-1.15894139151
5.004,0.909940477505,0.166821742704,3.26137195417,-0.794351923727
5.037,1.01494786905,0.14932051078,3.32412952219,-0.438753970336
5.07,1.12695575337,0.137069648432,3.3272029044,-0.00406727194417
5.103,1.25646486961,0.131819278855,2.61382663286,0.871435263469
5.137,1.32997004369,0.194823713783,1.08610633529,1.67617651046
5.17,1.33172016688,0.270079011058,-0.544647677812,1.695183493
5.203,1.27396610153,0.331333322794,-1.54607417798,0.901957528026
5.237,1.20221105064,0.338333815564,-1.63616927562,-0.214890748207
5.27,1.14445698529,0.313832090869,-0.974104637587,-1.20353621033
5.304,1.11820513741,0.245577286364,0.286856733034,-1.72541488736
5.337,1.16370834041,0.166821742704,1.55950172024,-1.30791104408
5.37,1.24421400726,0.147570387587,2.14733823786,-0.524754846556
5.403,1.31946930454,0.151070633972,2.32413322299,-0.165899344704
5.437,1.40172509458,0.14932051078,2.38997581189,-0.0461987450859
