"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
1.905,0.147905903965,0.885221457005,0.331626419957,-0.855767049889
1.938,0.158479499964,0.858787467009,0.366731208373,-0.946941930704
1.971,0.169053095963,0.827066679013,0.4570104131,-1.1031880752
2.005,0.18667575596,0.788296827018,0.617257183735,-1.34893113388
2.038,0.209585213957,0.738953379024,0.827930261087,-1.67702006836
2.071,0.239543735954,0.675511803032,1.10111630932,-1.94252679993
2.105,0.281838119948,0.606783429041,1.41578875565,-2.12593334737
2.138,0.334706099941,0.529243725051,1.73433720119,-2.18666313164
2.171,0.398147675933,0.45875308506,2.00391586832,-2.11975128131
2.205,0.466316839423,0.389747846092,2.32650278736,-2.07927897072
2.238,0.556495618297,0.313714758022,2.58619265317,-1.87494905019
2.271,0.639601551769,0.262436628859,2.78575393349,-1.56104408289
2.305,0.738621387395,0.212926711045,3.08185321816,-1.31640153545
2.338,0.846482279773,0.170489638634,3.34932498703,-0.974393617765
2.371,0.966720651605,0.147502891078,3.41716665771,-0.598886761879
2.405,1.07811796668,0.133357200275,3.32407814269,-0.235044040379
2.438,1.19305170446,0.124516143522,2.9867079904,0.36214491319
2.471,1.29914438549,0.142198257027,1.89692033696,1.31100241556
2.504,1.33627682385,0.221767767798,0.289140528591,1.86456050463
2.538,1.30975365359,0.301337278569,-1.04795691752,1.4101349926
2.571,1.24432983363,0.331396871527,-1.671221639,0.389734254827
2.604,1.17536959096,0.322555814774,-1.41738166284,-0.597391590459
2.638,1.1311643072,0.292496221816,-0.502457961424,-1.48361302751
2.671,1.1276278845,0.205853865644,0.843581166116,-1.76273117485
2.704,1.19658812717,0.140430045676,1.90841417975,-1.01964258415
2.738,1.27792584929,0.140430045676,2.29509269237,-0.315864590175
2.771,1.35572714871,0.142198257027,2.48097496888,-0.124995500933
2.804,1.44413771623,0.136893622975,2.59159057528,-0.10412800175
