"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
1.902,0.146614699641,0.875699148552,0.177873400611,-0.492932085061
1.936,0.151918538464,0.861555578358,0.212945170642,-0.609457698216
1.969,0.158990323561,0.840340223067,0.278354207946,-0.798757999334
2.002,0.169598001206,0.810285136405,0.367785797956,-1.0341012581
2.036,0.181973625126,0.773158264647,0.517776195974,-1.34286689472
2.069,0.203188980416,0.72011987642,0.713893267195,-1.64699867877
2.102,0.227940228256,0.66177764937,0.962041558859,-1.87828981737
2.136,0.265067100014,0.594595690949,1.28410002461,-2.08854252878
2.169,0.312801649419,0.520341947432,1.63965422534,-2.22684067814
2.202,0.376447715291,0.440784365091,1.92678748098,-2.16648430491
2.236,0.441861727438,0.37360240667,2.20650580595,-2.03281035865
2.269,0.519651363504,0.30642044825,2.59191238821,-1.91474138816
2.302,0.618656354861,0.242774382377,2.83426197626,-1.66788301495
2.336,0.710589561121,0.193271886699,3.03601637038,-1.37082664133
2.369,0.818434283849,0.150841176117,3.30301500299,-1.05557027436
2.402,0.935118737948,0.12255403573,3.38142739397,-0.697243938589
2.436,1.04649935322,0.104874572987,3.33270967121,-0.290877192087
2.469,1.1649517536,0.094266895342,2.9631871029,0.387266992162
2.502,1.2674926375,0.115482250633,1.80406342004,1.39660861249
2.536,1.30108361671,0.203879564344,0.198917598569,1.87078928893
2.569,1.27279647633,0.276365361588,-1.1639459407,1.27373492456
2.602,1.20031067908,0.301116609427,-1.71536850568,0.167703092833
2.636,1.13136077439,0.286973039233,-1.32780836902,-0.947217180564
2.669,1.09069801008,0.226862865909,-0.224307428269,-1.64970555209
2.702,1.10837747282,0.152609122392,1.14970585471,-1.53374072342
2.735,1.18439916261,0.104874572987,1.99928716309,-0.786617512048
2.769,1.26042085241,0.108410465536,2.26483797194,-0.241332018005
2.802,1.33997843475,0.106642519262,2.35762825881,-0.129609112143
2.835,1.41776807081,0.101338680439,2.36226195106,-0.121970434879
