"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
1.966,0.13274680245,0.868627363455,0.180819977734,-0.557104861296
2,0.138050641272,0.852715846987,0.223236201194,-0.688003769007
2.033,0.145122426369,0.827964599148,0.304072327813,-0.885603487558
2.066,0.157498050289,0.796141566212,0.410401384676,-1.13558291515
2.1,0.171641620483,0.75371085563,0.561964271474,-1.45015358316
2.133,0.192856975773,0.697136574855,0.793742708599,-1.7222503404
2.166,0.222912062435,0.638794347805,1.07975154481,-1.95043763947
2.2,0.261806880468,0.568076496836,1.45143360743,-2.17823937032
2.233,0.320149107518,0.486750968221,1.82027067641,-2.22189538197
2.266,0.389099012213,0.414265170978,2.00497655123,-2.05084889612
2.299,0.450977131811,0.354154997654,2.23492473407,-1.92547339464
2.333,0.5340706067,0.285205092959,2.58442837811,-1.78263534642
2.366,0.620699974137,0.233934651006,3.01609755291,-1.60271006535
2.399,0.739152374511,0.175592423957,3.27957109077,-1.30440680511
2.433,0.848765043513,0.142001444746,3.30667440883,-0.88125240582
2.466,0.956609766241,0.120786089455,3.3748763018,-0.520352726227
2.499,1.07329422034,0.106642519262,3.28514548165,-0.074345602919
2.533,1.19351456699,0.101338680439,2.63325472511,0.741497982232
2.566,1.27307214933,0.152609122392,1.26152282168,1.59107568349
2.599,1.28367982697,0.228630812184,-0.328808544542,1.73443313412
2.633,1.23594527757,0.295812770604,-1.4287243522,1.01884013133
2.666,1.1652274266,0.308188394524,-1.72137676224,-0.134874870107
2.699,1.09627752191,0.283437146685,-1.09489015931,-1.17185464797
2.733,1.07152627407,0.218023134538,0.186712830491,-1.74447070812
2.766,1.1104210921,0.134929659649,1.45037362728,-1.36568052484
2.799,1.18644278189,0.113714304359,2.11681027226,-0.562746002847
2.833,1.26953625678,0.117250196907,2.29331194817,-0.201430670743
2.866,1.3437900003,0.113714304359,2.29682688242,-0.0889330550068
