"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
2.81,0.127484372535,0.862349099551,0.190873171964,-0.460938404637
2.843,0.132728529064,0.850112734318,0.235710238985,-0.594258083842
2.876,0.141468789945,0.829136108204,0.303063258473,-0.801659236895
2.91,0.151957103002,0.797671169032,0.401500278296,-1.04427220019
2.943,0.165941520411,0.760962073333,0.583205865345,-1.35649560426
2.976,0.190414250878,0.706772455871,0.779573204875,-1.62730756293
3.01,0.21663503352,0.650834786234,1.02674786759,-1.85269679927
3.043,0.258588285748,0.580912699187,1.30372198021,-2.01439294821
3.076,0.302289590153,0.514486716492,1.59983670033,-2.06512800136
3.11,0.363471416319,0.442816577269,1.95300365963,-2.09403366869
3.143,0.435141555542,0.371146438046,2.25243954691,-2.01726288462
3.176,0.51380390347,0.306468507527,2.51011200117,-1.83818397092
3.21,0.602954564455,0.247034733537,2.76614691413,-1.60696789399
3.243,0.697349381968,0.198089272604,3.05643088516,-1.33760185623
3.276,0.807476669068,0.156136020376,3.2603548352,-0.996200274921
3.31,0.919352008343,0.13166328991,3.3404529687,-0.650164509283
3.343,1.03297539979,0.114182768148,3.28922383994,-0.281239932266
3.376,1.14485073907,0.105442507267,2.88298778612,0.33523149148
3.41,1.24623776529,0.121174976852,1.83310632825,1.29677331187
3.443,1.28469491316,0.203333429133,0.274244956405,1.87553111461
3.476,1.25847413052,0.280247724884,-1.08973378457,1.39262340096
3.51,1.18855204347,0.311712664056,-1.69030443261,0.359309957158
3.543,1.1203780086,0.302972403175,-1.41489643832,-0.710694686484
3.576,1.0766767042,0.25927109877,-0.464975634184,-1.51595481495
3.61,1.08017280855,0.180608750842,0.782105732492,-1.62618629989
3.643,1.13611047819,0.124671081205,1.81691286112,-0.973042847266
3.676,1.21826893047,0.119426924676,2.27109453625,-0.363460554767
3.71,1.30042738275,0.1176788725,2.36360612859,-0.157337119823
3.743,1.3773416785,0.114182768148,2.3588268246,-0.0965421308154
