"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
2.769,0.162147509265,0.880713964613,0.183294479025,-0.578805653019
2.803,0.167438989466,0.863075697277,0.221926259166,-0.678327395552
2.836,0.176258123134,0.840145949741,0.268730912037,-0.841865805413
2.869,0.183313430068,0.81016089527,0.36986852129,-1.08588993595
2.903,0.199187870671,0.767829053664,0.538562782585,-1.3647695949
2.936,0.21858996474,0.720205731857,0.74902206564,-1.67995322241
2.969,0.246811192477,0.654944142714,1.02285043332,-1.93245518045
3.003,0.285615380616,0.587918726838,1.33973784333,-2.08662672067
3.036,0.33676635589,0.513838004028,1.66222520813,-2.17866904876
3.069,0.396736464832,0.439757281217,1.95323109714,-2.13070078077
3.103,0.465525707442,0.370968038607,2.29944980495,-2.05283059831
3.136,0.550189390654,0.300414969264,2.65614077475,-1.90128316295
3.169,0.6419083808,0.242208687056,2.96987254102,-1.64347341881
3.203,0.753029465016,0.189293885048,3.17060440099,-1.34074308475
3.236,0.857095242297,0.150489696909,3.28645347681,-0.978683717186
3.269,0.96645249978,0.125796122639,3.44514162042,-0.610676279233
3.302,1.0881565444,0.109921682037,3.39718355579,-0.167986316651
3.336,1.21162441575,0.101102548369,2.76506677602,0.625560057456
3.369,1.29628809896,0.143434389975,1.41766676242,1.5729349699
3.402,1.31039871283,0.229861899921,-0.124246922866,1.75386566182
3.436,1.27688600489,0.288068182129,-1.29063978344,1.07381307046
3.469,1.20633293555,0.310997929666,-1.79446634248,0.00443150497741
3.502,1.12872455927,0.288068182129,-1.28749108253,-1.04869340136
3.536,1.0987395048,0.228098073187,-0.0806451101769,-1.6262836463
3.569,1.12166925233,0.154017350377,1.22844828077,-1.42327494964
3.602,1.19574997515,0.116976988971,2.05665839198,-0.687360302408
3.636,1.27512217816,0.120504642438,2.35004218648,-0.261683755526
3.669,1.3615496881,0.113449335504,2.36610383789,-0.18040141734
3.702,1.43210275745,0.108157855303,2.25573841151,-0.157230009332
