"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
1.333,0.086283761678,0.850283081216,0.198484969258,-0.553583963075
1.366,0.0916844418178,0.834081040796,0.251629714143,-0.664278471943
1.4,0.100685575384,0.812478320237,0.335974083629,-0.866006959259
1.433,0.113287162377,0.778274012685,0.451477481402,-1.13201162474
1.466,0.129489202797,0.736868798279,0.611118146802,-1.39585618351
1.5,0.152892150069,0.684662223594,0.817764752345,-1.64740795045
1.533,0.183496004195,0.625254742056,1.06702515024,-1.85907605126
1.566,0.221300765174,0.560446580378,1.38250010805,-2.01441938192
1.6,0.273507339859,0.49023773856,1.75966521415,-2.12950883935
1.633,0.341915954963,0.412827989889,2.07303922486,-2.08831387577
1.666,0.413925023495,0.346219601498,2.28718709645,-1.86476918108
1.7,0.491334772166,0.290412573386,2.57442958864,-1.68195741425
1.733,0.588547014683,0.234605545274,2.80460421816,-1.5085000151
1.766,0.68035857706,0.187799650729,2.93119761361,-1.25196010199
1.8,0.781171273003,0.148194663037,3.12854005113,-0.922610803276
1.833,0.892785329227,0.126591942478,3.24107981029,-0.588407887329
1.866,0.99899870531,0.110389902058,3.20358434648,-0.230403497064
1.9,1.10881253482,0.104989221918,2.99907463894,0.31961044459
1.933,1.21862636433,0.119391035625,2.19650864113,1.15837790314
1.966,1.27443339244,0.191400104156,0.798598664535,1.67030136211
2,1.26543225888,0.256208265834,-0.415542905243,1.44351559144
2.033,1.2276274979,0.295813253526,-1.06690912478,0.900113356639
2.066,1.18082160335,0.315615747372,-1.21453383105,0.293703186872
2.1,1.14301684237,0.312015293945,-1.16209388616,-0.215591846086
2.133,1.09981140125,0.299413706952,-0.953460644859,-0.657713766042
2.166,1.07280800055,0.268809852827,-0.5030702001,-1.0631814183
2.2,1.06200664027,0.223804184995,0.0828087814333,-1.28644116832
2.233,1.07640845398,0.173397837023,0.719880702259,-1.1999144839
2.266,1.11601344167,0.133792849331,1.15893977659,-0.775239728238
2.299,1.16132457382,0.12178562484,1.31848648999,-0.323922476683
2.333,1.20648206421,0.119979325225,1.36343487859,-0.101733253017
2.366,1.25705845344,0.119979325225,1.27445069211,-0.0233311793014
2.399,1.28957184651,0.119979325225,1.12601798747,-0.00301049935888
