"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
1.061,0.252756062129,0.925983434753,0.16404205043,-0.552961449676
1.095,0.256502556039,0.909124212158,0.238862285843,-0.658991503393
1.128,0.265868790813,0.888518495654,0.339164760511,-0.858442786229
1.161,0.278981519498,0.854800050466,0.445702685756,-1.12824203784
1.195,0.295840742092,0.811715370503,0.565822115372,-1.38552427008
1.228,0.314573211641,0.763010949675,0.756049109239,-1.66195921113
1.261,0.34454516292,0.699320553208,0.996160383527,-1.85892902799
1.295,0.380136855063,0.637503403696,1.28195623577,-2.01462645132
1.328,0.428404034261,0.564585215396,1.62592560633,-2.15307360459
1.361,0.488550281469,0.491281976612,1.94151620494,-2.15952180135
1.395,0.559973950027,0.417978737828,2.21996515413,-2.08709028199
1.428,0.637036329261,0.348434639495,2.49704432335,-1.90959149275
1.461,0.723496559622,0.290167962513,2.80361596738,-1.6685265428
1.495,0.826872922009,0.237539996207,3.04699305833,-1.43028588747
1.528,0.928369714172,0.192430310801,3.2504970145,-1.1329324726
1.561,1.04490306814,0.160477616972,3.35907013804,-0.776563559721
1.594,1.15203857097,0.143561484945,3.36016961446,-0.436514423318
1.628,1.26669235471,0.130404493369,3.31396572261,-0.00696533585036
1.661,1.39826227048,0.124765782693,2.53228095195,0.879791458285
1.694,1.45652894746,0.186791600126,1.08410363019,1.73736045003
1.728,1.46216765814,0.273251830486,-0.162078568407,1.68498394383
1.761,1.43209453453,0.316481945666,-0.991258643657,1.0680863954
1.794,1.38322570868,0.339036788369,-1.32575984679,0.47070181278
1.828,1.33623645305,0.34655506927,-1.36171480955,-0.0890579366078
1.861,1.28548805696,0.331518507468,-1.13671706171,-0.578433273791
1.894,1.25541493336,0.30708409454,-0.686281128138,-1.00695568491
1.928,1.23473966088,0.261974409135,-0.054470132149,-1.31319404835
1.961,1.24601708223,0.211226013053,0.699612847142,-1.33231860492
1.994,1.28548805696,0.160477616972,1.26703285685,-0.939568560925
2.028,1.3550321553,0.143561484945,1.1570418247,-0.399213213869
2.061,1.36630957665,0.143561484945,0.885370236939,-0.114272514066
2.094,1.40390098115,0.14168191472,0.833557280731,-0.0234688881994
2.128,1.42457625363,0.143561484945,0.730077300996,-0.00862058524352
2.161,1.44901066656,0.14168191472,0.732479823096,-0.0316109537879
