"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
1.183,0.264019593171,0.935345234323,0.124553874529,-0.38615292145
1.217,0.267795158389,0.924018538668,0.159193608097,-0.483779513457
1.25,0.271570723608,0.908916277793,0.243227049194,-0.670990386735
1.283,0.282897419264,0.882487321263,0.361193161755,-0.940774306018
1.317,0.296111897529,0.846619451687,0.488560935687,-1.24704802097
1.35,0.313101941012,0.799424886454,0.686626493493,-1.55521781272
1.383,0.341418680152,0.739015842957,0.899895476286,-1.72595819504
1.417,0.37351098451,0.682382364678,1.12625514395,-1.84395749557
1.45,0.413154419305,0.618197755962,1.45219875791,-2.00965601031
1.483,0.469787897584,0.546462016808,1.77146238522,-2.07772427196
1.517,0.5339725063,0.476614060264,2.03859495833,-2.05891688551
1.55,0.605708245453,0.40676610372,2.3139745074,-1.96241235078
1.583,0.686882897653,0.342581495004,2.58192263332,-1.7339298802
1.617,0.779384245509,0.291611364553,2.82543426739,-1.51092836545
1.65,0.875661158583,0.242529016712,3.07346761661,-1.30267245809
1.683,0.985152549922,0.200997799307,3.2353015801,-0.972226050916
1.717,1.09275615865,0.178344407995,3.37192007493,-0.650220814223
1.75,1.21168646304,0.157578799293,3.41773606769,-0.273591868119
1.783,1.3249534196,0.153803234075,3.15737025889,0.313083587239
1.817,1.44577150659,0.16701771234,2.20261341762,1.16192090999
1.85,1.49107828921,0.238753451493,0.699598061694,1.7577488816
1.883,1.47975159356,0.310489190646,-0.478311172238,1.53874019883
1.917,1.44199594137,0.352020408051,-1.12087754454,0.944050191076
1.95,1.39291359353,0.370898234144,-1.32312557089,0.342383656825
1.983,1.34949459352,0.372786016753,-1.28304285845,-0.205685012617
2.017,1.30418781089,0.355795973269,-1.08801718319,-0.694151852231
2.05,1.26831994132,0.325591451521,-0.608276257789,-1.13348495789
2.083,1.25699324566,0.278396886288,0.0912202289352,-1.4287830231
2.117,1.27209550654,0.2198756254,0.838224768628,-1.37666845136
2.15,1.32306563699,0.170793277558,1.30786791588,-0.871357676373
2.183,1.36837241961,0.161354364512,1.46083429945,-0.316218063376
2.217,1.41745476745,0.161354364512,1.63284327417,-0.0890393585084
2.25,1.48352715878,0.161354364512,1.63650837818,-0.0347878463067
2.283,1.5288339414,0.159466581902,1.51642335358,-0.0412833267589
