"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
0.076,0.278266097634,0.935124507414,0.110375927021,-0.325030028412
0.109,0.280212975773,0.927336994861,0.165121418227,-0.420879215457
0.143,0.288000488326,0.909815091616,0.223522669973,-0.539331969732
0.176,0.297734879018,0.886452553955,0.223235557223,-0.543906578528
0.276,0.311363025986,0.851408747465,0.31481231418,-0.731948120564
0.309,0.33083180737,0.802736794006,0.611996841871,-1.27713569509
0.343,0.360034979445,0.748224206132,0.881991308534,-1.62475637579
0.376,0.392882094433,0.690386655066,1.12246826422,-1.90032803546
0.409,0.431951095842,0.6220159026,1.39153633148,-2.06919749405
0.443,0.484694247744,0.547784799923,1.70779983117,-2.12346043512
0.476,0.545251199928,0.479414047457,2.06456745251,-2.1430036414
0.509,0.621435752676,0.405182944779,2.40358465239,-2.09954651354
0.543,0.707387555776,0.334858742243,2.70416006296,-1.93380596083
0.576,0.805060059298,0.272348339989,2.92852293398,-1.65615855956
0.609,0.900779112751,0.225465538298,3.13816167417,-1.3553357816
0.643,1.01603266691,0.180536186677,3.32671695702,-1.02875054103
0.676,1.12347242078,0.157094785832,3.50169840479,-0.711893838939
0.709,1.24653977522,0.135606835057,3.61713618828,-0.397908491823
0.743,1.37742092994,0.123886134634,3.30470328536,0.143728707855
0.776,1.48876758396,0.129746484845,2.32712801711,1.06843160858
0.809,1.545417636,0.198117237311,0.892445827623,1.82043545129
0.843,1.54346418593,0.282115590341,-0.392574739372,1.68789781358
0.876,1.50244173445,0.327044941961,-1.16097310293,1.01703095663
0.909,1.45165203262,0.344625992595,-1.39580229667,0.375555580569
0.943,1.40281578086,0.348532892736,-1.34866626185,-0.165752792366
0.976,1.35593297917,0.332905292173,-1.0784197375,-0.655112585025
1.009,1.32663122811,0.303603541116,-0.620685869892,-1.06275396647
1.043,1.31100362755,0.258674189495,-0.0355945815076,-1.33227790235
1.076,1.3207708779,0.205931037593,0.655112585025,-1.31234560432
1.109,1.35593297917,0.162955136043,1.26575134077,-0.992825295661
1.143,1.41258303121,0.135606835057,1.63285736501,-0.54787162468
1.176,1.47704688353,0.129746484845,1.6452762248,-0.198736339295
1.209,1.52395623567,0.129734659448,1.54557767974,-0.0762288100129
1.243,1.57474655412,0.127781185661,1.56696594314,-0.0544734420756
1.276,1.62944382016,0.125827711874,1.60755520258,-0.0555669260825
